Kürzel,/thyssenkrupp-aktie,/thyssenkrupp-aktie
Datum,ThyssenKrupp,ThyssenKrupp
14.06.96,14.06.96,"14,1526"
13.06.96,13.06.96,"14,2395"
12.06.96,12.06.96,"14,3264"
11.06.96,11.06.96,"14,2139"
10.06.96,10.06.96,"14,1883"
07.06.96,07.06.96,"14,127"
06.06.96,06.06.96,"14,0656"
05.06.96,05.06.96,"14,0656"
04.06.96,04.06.96,"14,3673"
03.06.96,03.06.96,"14,2855"
31.05.96,31.05.96,"14,444"
30.05.96,30.05.96,"14,3417"
29.05.96,29.05.96,"14,5054"
28.05.96,28.05.96,"14,5974"
27.05.96,27.05.96,"14,5105"
24.05.96,24.05.96,"14,5105"
23.05.96,23.05.96,"14,5616"
22.05.96,22.05.96,"14,5207"
21.05.96,21.05.96,"14,5974"
20.05.96,20.05.96,"14,6332"
17.05.96,17.05.96,"14,4491"
16.05.96,16.05.96,"14,2395"
15.05.96,15.05.96,"14,2395"
14.05.96,14.05.96,"14,2395"
13.05.96,13.05.96,"14,1219"
10.05.96,10.05.96,"13,9327"
09.05.96,09.05.96,"14,035"
08.05.96,08.05.96,"14,2037"
07.05.96,07.05.96,"14,2395"
06.05.96,06.05.96,"14,0452"
03.05.96,03.05.96,"14,0401"
02.05.96,02.05.96,"14,1577"
01.05.96,01.05.96,"14,2906"
30.04.96,30.04.96,"14,2906"
29.04.96,29.04.96,"14,3929"
26.04.96,26.04.96,"14,4849"
25.04.96,25.04.96,"14,5974"
24.04.96,24.04.96,"14,7508"
23.04.96,23.04.96,"14,7661"
22.04.96,22.04.96,"14,6383"
19.04.96,19.04.96,"14,4031"
18.04.96,18.04.96,"14,4235"
17.04.96,17.04.96,"14,4542"
16.04.96,16.04.96,"14,3724"
15.04.96,15.04.96,"14,3315"
12.04.96,12.04.96,"14,1628"
11.04.96,11.04.96,"14,2139"
10.04.96,10.04.96,"14,3111"
09.04.96,09.04.96,"13,7538"
08.04.96,08.04.96,"13,7793"
05.04.96,05.04.96,"13,7793"
04.04.96,04.04.96,"13,7793"
03.04.96,03.04.96,"13,7538"
02.04.96,02.04.96,"13,7282"
01.04.96,01.04.96,"13,7026"
29.03.96,29.03.96,"13,6515"
28.03.96,28.03.96,"13,5901"
27.03.96,27.03.96,"13,5237"
26.03.96,26.03.96,"13,6106"
25.03.96,25.03.96,"14,035"
22.03.96,22.03.96,"14,6229"
21.03.96,21.03.96,"14,9297"
20.03.96,20.03.96,"14,8888"
19.03.96,19.03.96,"14,669"
18.03.96,18.03.96,"14,5411"
15.03.96,15.03.96,"14,2804"
14.03.96,14.03.96,"14,2395"
13.03.96,13.03.96,"14,2395"
12.03.96,12.03.96,"14,0247"
11.03.96,11.03.96,"13,9071"
08.03.96,08.03.96,"14,352"
07.03.96,07.03.96,"14,6741"
06.03.96,06.03.96,"14,6485"
05.03.96,05.03.96,"14,8633"
04.03.96,04.03.96,"14,8786"
01.03.96,01.03.96,"14,6485"
29.02.96,29.02.96,"14,3673"
28.02.96,28.02.96,"14,1219"
27.02.96,27.02.96,"14,1679"
26.02.96,26.02.96,"14,2344"
23.02.96,23.02.96,"14,2497"
22.02.96,22.02.96,"14,1372"
21.02.96,21.02.96,"13,9992"
20.02.96,20.02.96,"14,0452"
19.02.96,19.02.96,"14,0605"
16.02.96,16.02.96,"14,2037"
15.02.96,15.02.96,"14,035"
14.02.96,14.02.96,"14,0247"
13.02.96,13.02.96,"14,0963"
12.02.96,12.02.96,"14,035"
09.02.96,09.02.96,"13,9992"
08.02.96,08.02.96,"14,0861"
07.02.96,07.02.96,"14,2139"
06.02.96,06.02.96,"14,0912"
05.02.96,05.02.96,"14,1372"
02.02.96,02.02.96,"14,4082"
01.02.96,01.02.96,"14,5309"
31.01.96,31.01.96,"14,6741"
30.01.96,30.01.96,"14,5769"
29.01.96,29.01.96,"14,7252"
26.01.96,26.01.96,"14,4951"
25.01.96,25.01.96,"14,6229"
24.01.96,24.01.96,"14,5616"
23.01.96,23.01.96,"14,4235"
22.01.96,22.01.96,"14,5514"
19.01.96,19.01.96,"14,5105"
18.01.96,18.01.96,"14,3826"
17.01.96,17.01.96,"14,3162"
16.01.96,16.01.96,"14,2702"
15.01.96,15.01.96,"14,2139"
12.01.96,12.01.96,"14,2548"
11.01.96,11.01.96,"14,0094"
10.01.96,10.01.96,"14,2395"
09.01.96,09.01.96,"14,2497"
08.01.96,08.01.96,"14,0247"
05.01.96,05.01.96,"14,1117"
04.01.96,04.01.96,"13,948"
03.01.96,03.01.96,"13,5748"
02.01.96,02.01.96,"13,2936"
01.01.96,01.01.96,"13,3805"
29.12.95,29.12.95,"13,3805"
28.12.95,28.12.95,"13,3856"
27.12.95,27.12.95,"13,4214"
26.12.95,26.12.95,"13,3958"
25.12.95,25.12.95,"13,3958"
22.12.95,22.12.95,"13,3958"
21.12.95,21.12.95,"13,4214"
20.12.95,20.12.95,"13,3907"
19.12.95,19.12.95,"13,3089"
18.12.95,18.12.95,"13,3549"
15.12.95,15.12.95,"13,3805"
14.12.95,14.12.95,"13,2936"
13.12.95,13.12.95,"13,2527"
12.12.95,12.12.95,"13,4265"
11.12.95,11.12.95,"13,539"
08.12.95,08.12.95,"13,4725"
07.12.95,07.12.95,"13,5595"
06.12.95,06.12.95,"13,5492"
05.12.95,05.12.95,"13,5492"
04.12.95,04.12.95,"13,5646"
01.12.95,01.12.95,"13,4981"
30.11.95,30.11.95,"13,6259"
29.11.95,29.11.95,"13,8049"
28.11.95,28.11.95,"13,7947"
27.11.95,27.11.95,"13,7282"
24.11.95,24.11.95,"13,4981"
23.11.95,23.11.95,"13,5492"
22.11.95,22.11.95,"13,6668"
21.11.95,21.11.95,"13,539"
20.11.95,20.11.95,"13,4368"
17.11.95,17.11.95,"13,1555"
16.11.95,16.11.95,"13,1607"
15.11.95,15.11.95,"12,9817"
14.11.95,14.11.95,"13,0379"
13.11.95,13.11.95,"12,9459"
10.11.95,10.11.95,"12,9612"
09.11.95,09.11.95,"13,1913"
08.11.95,08.11.95,"12,9101"
07.11.95,07.11.95,"12,9868"
06.11.95,06.11.95,"12,8334"
03.11.95,03.11.95,"12,997"
02.11.95,02.11.95,"12,9715"
01.11.95,01.11.95,"12,859"
31.10.95,31.10.95,"12,9919"
30.10.95,30.10.95,"13,3601"
27.10.95,27.10.95,"13,1402"
26.10.95,26.10.95,"13,2322"
25.10.95,25.10.95,"13,268"
24.10.95,24.10.95,"13,0533"
23.10.95,23.10.95,"12,859"
20.10.95,20.10.95,"13,1658"
19.10.95,19.10.95,"13,2425"
18.10.95,18.10.95,"13,2169"
17.10.95,17.10.95,"13,5492"
16.10.95,16.10.95,"13,6873"
13.10.95,13.10.95,"13,7895"
12.10.95,12.10.95,"13,6004"
11.10.95,11.10.95,"13,4981"
10.10.95,10.10.95,"13,7026"
09.10.95,09.10.95,"13,856"
06.10.95,06.10.95,"13,9174"
05.10.95,05.10.95,"14,3162"
04.10.95,04.10.95,"14,444"
03.10.95,03.10.95,"14,3826"
02.10.95,02.10.95,"14,3826"
29.09.95,29.09.95,"14,1117"
28.09.95,28.09.95,"13,9787"
27.09.95,27.09.95,"14,3162"
26.09.95,26.09.95,"14,3929"
25.09.95,25.09.95,"14,1526"
22.09.95,22.09.95,"14,3826"
21.09.95,21.09.95,"14,6741"
20.09.95,20.09.95,"14,8786"
19.09.95,19.09.95,"15,0371"
18.09.95,18.09.95,"14,9911"
15.09.95,15.09.95,"15,1598"
14.09.95,14.09.95,"15,1138"
13.09.95,13.09.95,"14,8428"
12.09.95,12.09.95,"14,8275"
11.09.95,11.09.95,"14,8172"
08.09.95,08.09.95,"14,9195"
07.09.95,07.09.95,"14,807"
06.09.95,06.09.95,"14,9425"
05.09.95,05.09.95,"14,8121"
04.09.95,04.09.95,"14,8019"
01.09.95,01.09.95,"14,6894"
31.08.95,31.08.95,"14,6485"
30.08.95,30.08.95,"14,669"
29.08.95,29.08.95,"14,6229"
28.08.95,28.08.95,"14,7763"
25.08.95,25.08.95,"14,6996"
24.08.95,24.08.95,"14,6792"
23.08.95,23.08.95,"14,7252"
22.08.95,22.08.95,"14,7201"
21.08.95,21.08.95,"14,9297"
18.08.95,18.08.95,"15,1087"
17.08.95,17.08.95,"14,9195"
16.08.95,16.08.95,"14,8633"
15.08.95,15.08.95,"14,6485"
14.08.95,14.08.95,"14,5463"
11.08.95,11.08.95,"14,6639"
10.08.95,10.08.95,"14,6127"
09.08.95,09.08.95,"14,6945"
08.08.95,08.08.95,"14,8684"
07.08.95,07.08.95,"14,9297"
04.08.95,04.08.95,"14,9553"
03.08.95,03.08.95,"14,8735"
02.08.95,02.08.95,"15,0166"
01.08.95,01.08.95,"14,9706"
31.07.95,31.07.95,"14,5718"
28.07.95,28.07.95,"14,6741"
27.07.95,27.07.95,"14,646"
26.07.95,26.07.95,"14,669"
25.07.95,25.07.95,"14,3929"
24.07.95,24.07.95,"14,1219"
21.07.95,21.07.95,"14,0912"
20.07.95,20.07.95,"14,0247"
19.07.95,19.07.95,"14,1372"
18.07.95,18.07.95,"14,3724"
17.07.95,17.07.95,"14,3673"
14.07.95,14.07.95,"14,3571"
13.07.95,13.07.95,"14,5463"
12.07.95,12.07.95,"14,2906"
11.07.95,11.07.95,"14,1628"
10.07.95,10.07.95,"14,0247"
07.07.95,07.07.95,"13,7026"
06.07.95,06.07.95,"13,3396"
05.07.95,05.07.95,"13,3038"
04.07.95,04.07.95,"13,2885"
03.07.95,03.07.95,"13,2169"
30.06.95,30.06.95,"13,176"
29.06.95,29.06.95,"13,2782"
28.06.95,28.06.95,"13,2425"
27.06.95,27.06.95,"13,3856"
26.06.95,26.06.95,"13,4623"
23.06.95,23.06.95,"13,4981"
22.06.95,22.06.95,"13,5492"
21.06.95,21.06.95,"13,6208"
20.06.95,20.06.95,"13,6259"
19.06.95,19.06.95,"13,4981"
16.06.95,16.06.95,"13,4214"
15.06.95,15.06.95,"13,5646"
14.06.95,14.06.95,"13,5646"
13.06.95,13.06.95,"13,4112"
12.06.95,12.06.95,"13,268"
09.06.95,09.06.95,"13,3601"
08.06.95,08.06.95,"13,3856"
07.06.95,07.06.95,"13,856"
06.06.95,06.06.95,"13,9992"
05.06.95,05.06.95,"13,9429"
02.06.95,02.06.95,"13,9429"
01.06.95,01.06.95,"13,9071"
31.05.95,31.05.95,"13,6515"
30.05.95,30.05.95,"13,7282"
29.05.95,29.05.95,"13,6515"
26.05.95,26.05.95,"13,6515"
25.05.95,25.05.95,"13,9685"
24.05.95,24.05.95,"13,9685"
23.05.95,23.05.95,"13,948"
22.05.95,22.05.95,"13,6771"
19.05.95,19.05.95,"13,539"
18.05.95,18.05.95,"13,8458"
17.05.95,17.05.95,"14,035"
16.05.95,16.05.95,"14,035"
15.05.95,15.05.95,"13,9634"
12.05.95,12.05.95,"14,035"
11.05.95,11.05.95,"13,8918"
10.05.95,10.05.95,"13,6515"
09.05.95,09.05.95,"13,5492"
08.05.95,08.05.95,"13,3805"
05.05.95,05.05.95,"13,5237"
04.05.95,04.05.95,"13,7282"
03.05.95,03.05.95,"13,3856"
02.05.95,02.05.95,"13,4112"
01.05.95,01.05.95,"13,1811"
28.04.95,28.04.95,"13,1811"
27.04.95,27.04.95,"13,0891"
26.04.95,26.04.95,"13,0788"
25.04.95,25.04.95,"12,859"
24.04.95,24.04.95,"12,7721"
21.04.95,21.04.95,"12,7312"
20.04.95,20.04.95,"12,6289"
19.04.95,19.04.95,"12,7823"
18.04.95,18.04.95,"12,9612"
17.04.95,17.04.95,"13,1402"
14.04.95,14.04.95,"13,1402"
13.04.95,13.04.95,"13,1402"
12.04.95,12.04.95,"13,2936"
11.04.95,11.04.95,"13,3703"
10.04.95,10.04.95,"13,1862"
07.04.95,07.04.95,"13,0635"
06.04.95,06.04.95,"12,951"
05.04.95,05.04.95,"13,0891"
04.04.95,04.04.95,"13,0277"
03.04.95,03.04.95,"12,8846"
31.03.95,31.03.95,"12,9561"
30.03.95,30.03.95,"12,6545"
29.03.95,29.03.95,"12,542"
28.03.95,28.03.95,"12,68"
27.03.95,27.03.95,"12,9357"
24.03.95,24.03.95,"12,6903"
23.03.95,23.03.95,"13,1555"
22.03.95,22.03.95,"13,1913"
21.03.95,21.03.95,"13,3549"
20.03.95,20.03.95,"13,6259"
17.03.95,17.03.95,"13,9583"
16.03.95,16.03.95,"13,8816"
15.03.95,15.03.95,"13,8458"
14.03.95,14.03.95,"13,6413"
13.03.95,13.03.95,"13,7538"
10.03.95,10.03.95,"13,4725"
09.03.95,09.03.95,"13,9327"
08.03.95,08.03.95,"13,7538"
07.03.95,07.03.95,"14,4287"
06.03.95,06.03.95,"14,3929"
03.03.95,03.03.95,"14,6127"
02.03.95,02.03.95,"14,8735"
01.03.95,01.03.95,"14,9962"
28.02.95,28.02.95,"14,9706"
27.02.95,27.02.95,"15,0473"
24.02.95,24.02.95,"15,124"
23.02.95,23.02.95,"15,124"
22.02.95,22.02.95,"15,032"
21.02.95,21.02.95,"15,0575"
20.02.95,20.02.95,"15,1087"
17.02.95,17.02.95,"15,2774"
16.02.95,16.02.95,"15,3388"
15.02.95,15.02.95,"15,5075"
14.02.95,14.02.95,"15,5177"
13.02.95,13.02.95,"15,4461"
10.02.95,10.02.95,"15,5433"
09.02.95,09.02.95,"15,5688"
08.02.95,08.02.95,"15,2109"
07.02.95,07.02.95,"15,3132"
06.02.95,06.02.95,"15,3388"
03.02.95,03.02.95,"15,0678"
02.02.95,02.02.95,"15,0729"
01.02.95,01.02.95,"15,1496"
31.01.95,31.01.95,"14,9809"
30.01.95,30.01.95,"15,0269"
27.01.95,27.01.95,"14,9962"
26.01.95,26.01.95,"15,078"
25.01.95,25.01.95,"15,0064"
24.01.95,24.01.95,"14,7508"
23.01.95,23.01.95,"14,7763"
20.01.95,20.01.95,"15,0422"
19.01.95,19.01.95,"15,2825"
18.01.95,18.01.95,"15,1598"
17.01.95,17.01.95,"15,0064"
16.01.95,16.01.95,"15,032"
13.01.95,13.01.95,"15,032"
12.01.95,12.01.95,"15,032"
11.01.95,11.01.95,"15,032"
10.01.95,10.01.95,"15,032"
09.01.95,09.01.95,"15,032"
06.01.95,06.01.95,"15,032"
05.01.95,05.01.95,"15,032"
04.01.95,04.01.95,"15,032"
03.01.95,03.01.95,"15,032"
02.01.95,02.01.95,"15,032"
30.12.94,30.12.94,"15,032"
29.12.94,29.12.94,"14,9553"
28.12.94,28.12.94,"15,0064"
27.12.94,27.12.94,"14,8428"
26.12.94,26.12.94,"14,7354"
23.12.94,23.12.94,"14,7354"
22.12.94,22.12.94,"14,7917"
21.12.94,21.12.94,"14,444"
20.12.94,20.12.94,"14,3162"
19.12.94,19.12.94,"14,4184"
16.12.94,16.12.94,"14,1628"
15.12.94,15.12.94,"14,0861"
14.12.94,14.12.94,"14,1014"
13.12.94,13.12.94,"13,9685"
12.12.94,12.12.94,"14,2037"
09.12.94,09.12.94,"14,0963"
08.12.94,08.12.94,"14,0861"
07.12.94,07.12.94,"14,1526"
06.12.94,06.12.94,"14,0605"
05.12.94,05.12.94,"14,1986"
02.12.94,02.12.94,"14,0861"
01.12.94,01.12.94,"14,1168"
30.11.94,30.11.94,"14,2395"
29.11.94,29.11.94,"14,5718"
28.11.94,28.11.94,"14,6587"
25.11.94,25.11.94,"14,6996"
24.11.94,24.11.94,"14,5207"
23.11.94,23.11.94,"14,2753"
22.11.94,22.11.94,"14,5309"
21.11.94,21.11.94,"14,8275"
18.11.94,18.11.94,"14,853"
17.11.94,17.11.94,"14,853"
16.11.94,16.11.94,"14,8786"
15.11.94,15.11.94,"14,8786"
14.11.94,14.11.94,"14,7763"
11.11.94,11.11.94,"14,7763"
10.11.94,10.11.94,"14,9553"
09.11.94,09.11.94,"14,9553"
08.11.94,08.11.94,"14,7508"
07.11.94,07.11.94,"14,6229"
04.11.94,04.11.94,"14,8275"
03.11.94,03.11.94,"14,5207"
02.11.94,02.11.94,"14,5974"
01.11.94,01.11.94,"14,6434"
31.10.94,31.10.94,"14,715"
28.10.94,28.10.94,"14,4696"
27.10.94,27.10.94,"14,265"
26.10.94,26.10.94,"14,4696"
25.10.94,25.10.94,"14,0094"
24.10.94,24.10.94,"14,4696"
21.10.94,21.10.94,"14,3673"
20.10.94,20.10.94,"14,6639"
19.10.94,19.10.94,"14,4184"
18.10.94,18.10.94,"14,7763"
17.10.94,17.10.94,"14,9809"
14.10.94,14.10.94,"15,1087"
13.10.94,13.10.94,"15,0729"
12.10.94,12.10.94,"15,0575"
11.10.94,11.10.94,"14,8275"
10.10.94,10.10.94,"14,9553"
07.10.94,07.10.94,"14,1372"
06.10.94,06.10.94,"14,1372"
05.10.94,05.10.94,"14,035"
04.10.94,04.10.94,"14,0094"
03.10.94,03.10.94,"14,4389"
30.09.94,30.09.94,"14,4389"
29.09.94,29.09.94,"14,9297"
28.09.94,28.09.94,"15,1087"
27.09.94,27.09.94,"15,0473"
26.09.94,26.09.94,"15,1087"
23.09.94,23.09.94,"15,1854"
22.09.94,22.09.94,"15,1189"
21.09.94,21.09.94,"14,9042"
20.09.94,20.09.94,"15,032"
19.09.94,19.09.94,"15,2876"
16.09.94,16.09.94,"15,3388"
15.09.94,15.09.94,"15,303"
14.09.94,14.09.94,"15,4154"
13.09.94,13.09.94,"15,6302"
12.09.94,12.09.94,"15,9012"
09.09.94,09.09.94,"16,121"
08.09.94,08.09.94,"16,0034"
07.09.94,07.09.94,"15,7734"
06.09.94,06.09.94,"16,0085"
05.09.94,05.09.94,"16,1057"
02.09.94,02.09.94,"16,30"
01.09.94,01.09.94,"16,4125"
31.08.94,31.08.94,"16,2693"
30.08.94,30.08.94,"16,4125"
29.08.94,29.08.94,"16,4892"
26.08.94,26.08.94,"16,1313"
25.08.94,25.08.94,"15,9523"
24.08.94,24.08.94,"15,7989"
23.08.94,23.08.94,"15,6455"
22.08.94,22.08.94,"15,9421"
19.08.94,19.08.94,"16,1057"
18.08.94,18.08.94,"16,0648"
17.08.94,17.08.94,"16,3358"
16.08.94,16.08.94,"16,438"
15.08.94,15.08.94,"16,5403"
12.08.94,12.08.94,"16,0801"
11.08.94,11.08.94,"16,3869"
10.08.94,10.08.94,"15,9779"
09.08.94,09.08.94,"16,0137"
08.08.94,08.08.94,"16,0034"
05.08.94,05.08.94,"15,85"
04.08.94,04.08.94,"15,8245"
03.08.94,03.08.94,"15,9012"
02.08.94,02.08.94,"15,5433"
01.08.94,01.08.94,"15,3899"
29.07.94,29.07.94,"15,2876"
28.07.94,28.07.94,"15,2109"
27.07.94,27.07.94,"15,2109"
26.07.94,26.07.94,"15,533"
25.07.94,25.07.94,"15,1087"
22.07.94,22.07.94,"15,3899"
21.07.94,21.07.94,"15,1598"
20.07.94,20.07.94,"14,9809"
19.07.94,19.07.94,"14,8786"
18.07.94,18.07.94,"14,715"
15.07.94,15.07.94,"14,4338"
14.07.94,14.07.94,"14,2139"
13.07.94,13.07.94,"14,3162"
12.07.94,12.07.94,"14,2906"
11.07.94,11.07.94,"14,7763"
08.07.94,08.07.94,"14,6127"
07.07.94,07.07.94,"14,8019"
06.07.94,06.07.94,"14,7354"
05.07.94,05.07.94,"14,6229"
04.07.94,04.07.94,"14,8019"
01.07.94,01.07.94,"14,5207"
30.06.94,30.06.94,"14,6741"
29.06.94,29.06.94,"14,9809"
28.06.94,28.06.94,"14,8786"
27.06.94,27.06.94,"14,8172"
24.06.94,24.06.94,"14,7252"
23.06.94,23.06.94,"14,6894"
22.06.94,22.06.94,"14,2139"
21.06.94,21.06.94,"14,2139"
20.06.94,20.06.94,"14,035"
17.06.94,17.06.94,"14,3929"
16.06.94,16.06.94,"14,2906"
15.06.94,15.06.94,"14,444"
14.06.94,14.06.94,"13,8202"
13.06.94,13.06.94,"14,1883"
10.06.94,10.06.94,"14,0861"
09.06.94,09.06.94,"14,0861"
08.06.94,08.06.94,"14,0861"
07.06.94,07.06.94,"14,1883"
06.06.94,06.06.94,"14,2906"
03.06.94,03.06.94,"14,127"
02.06.94,02.06.94,"14,1372"
01.06.94,01.06.94,"14,1372"
31.05.94,31.05.94,"14,0861"
30.05.94,30.05.94,"14,3929"
27.05.94,27.05.94,"14,6996"
26.05.94,26.05.94,"14,7508"
25.05.94,25.05.94,"14,8019"
24.05.94,24.05.94,"15,1189"
23.05.94,23.05.94,"15,3899"
20.05.94,20.05.94,"15,3899"
19.05.94,19.05.94,"15,3899"
18.05.94,18.05.94,"15,6404"
17.05.94,17.05.94,"15,5944"
16.05.94,16.05.94,"15,5944"
13.05.94,13.05.94,"15,3643"
12.05.94,12.05.94,"15,1598"
11.05.94,11.05.94,"15,1598"
10.05.94,10.05.94,"14,761"
09.05.94,09.05.94,"14,6229"
06.05.94,06.05.94,"14,6996"
05.05.94,05.05.94,"14,6741"
04.05.94,04.05.94,"14,8275"
03.05.94,03.05.94,"14,6843"
02.05.94,02.05.94,"15,0064"
29.04.94,29.04.94,"13,6004"
28.04.94,28.04.94,"13,6004"
27.04.94,27.04.94,"13,6004"
26.04.94,26.04.94,"13,6004"
25.04.94,25.04.94,"13,6004"
22.04.94,22.04.94,"13,6004"
21.04.94,21.04.94,"13,6004"
20.04.94,20.04.94,"13,6004"
19.04.94,19.04.94,"13,6004"
18.04.94,18.04.94,"13,6004"
15.04.94,15.04.94,"13,6004"
14.04.94,14.04.94,"13,6004"
13.04.94,13.04.94,"13,6004"
12.04.94,12.04.94,"13,6004"
11.04.94,11.04.94,"13,6004"
08.04.94,08.04.94,"13,6004"
07.04.94,07.04.94,"13,6004"
06.04.94,06.04.94,"13,6004"
05.04.94,05.04.94,"13,6004"
04.04.94,04.04.94,"13,6004"
01.04.94,01.04.94,"13,6004"
31.03.94,31.03.94,"13,6004"
30.03.94,30.03.94,"13,7026"
29.03.94,29.03.94,"13,9583"
28.03.94,28.03.94,"13,8458"
25.03.94,25.03.94,"13,7793"
24.03.94,24.03.94,"13,856"
23.03.94,23.03.94,"13,9838"
22.03.94,22.03.94,"13,7026"
21.03.94,21.03.94,"13,5901"
18.03.94,18.03.94,"13,7589"
17.03.94,17.03.94,"14,0503"
16.03.94,16.03.94,"14,0605"
15.03.94,15.03.94,"14,0094"
14.03.94,14.03.94,"13,8304"
11.03.94,11.03.94,"13,7282"
10.03.94,10.03.94,"13,856"
09.03.94,09.03.94,"13,6004"
08.03.94,08.03.94,"13,7282"
07.03.94,07.03.94,"13,6362"
04.03.94,04.03.94,"13,4214"
03.03.94,03.03.94,"13,1146"
02.03.94,02.03.94,"12,7567"
01.03.94,01.03.94,"13,0277"
28.02.94,28.02.94,"12,9612"
25.02.94,25.02.94,"12,859"
24.02.94,24.02.94,"12,9612"
23.02.94,23.02.94,"13,1913"
22.02.94,22.02.94,"13,0379"
21.02.94,21.02.94,"13,2067"
18.02.94,18.02.94,"13,3856"
17.02.94,17.02.94,"13,3805"
16.02.94,16.02.94,"13,3958"
15.02.94,15.02.94,"13,3703"
14.02.94,14.02.94,"13,4674"
11.02.94,11.02.94,"13,4674"
10.02.94,10.02.94,"13,2425"
09.02.94,09.02.94,"12,859"
08.02.94,08.02.94,"12,859"
07.02.94,07.02.94,"12,5676"
04.02.94,04.02.94,"12,8079"
03.02.94,03.02.94,"13,0124"
02.02.94,02.02.94,"13,1146"
01.02.94,01.02.94,"13,268"
31.01.94,31.01.94,"13,3703"
28.01.94,28.01.94,"12,997"
27.01.94,27.01.94,"12,9766"
26.01.94,26.01.94,"12,6545"
25.01.94,25.01.94,"12,8437"
24.01.94,24.01.94,"12,3221"
21.01.94,21.01.94,"12,6545"
20.01.94,20.01.94,"12,9408"
19.01.94,19.01.94,"13,0379"
18.01.94,18.01.94,"12,9101"
17.01.94,17.01.94,"12,9612"
14.01.94,14.01.94,"13,0635"
13.01.94,13.01.94,"13,1913"
12.01.94,12.01.94,"13,718"
11.01.94,11.01.94,"13,8816"
10.01.94,10.01.94,"14,0861"
07.01.94,07.01.94,"14,035"
06.01.94,06.01.94,"14,2395"
05.01.94,05.01.94,"14,3162"
04.01.94,04.01.94,"14,2395"
03.01.94,03.01.94,"14,0094"
31.12.93,31.12.93,"13,8816"
30.12.93,30.12.93,"13,8816"
29.12.93,29.12.93,"13,8151"
28.12.93,28.12.93,"13,447"
27.12.93,27.12.93,"13,8304"
24.12.93,24.12.93,"13,7026"
23.12.93,23.12.93,"13,7026"
22.12.93,22.12.93,"13,4725"
21.12.93,21.12.93,"13,3549"
20.12.93,20.12.93,"13,2834"
17.12.93,17.12.93,"13,2169"
16.12.93,16.12.93,"13,1555"
15.12.93,15.12.93,"13,1146"
14.12.93,14.12.93,"13,4214"
13.12.93,13.12.93,"13,5288"
10.12.93,10.12.93,"13,1095"
09.12.93,09.12.93,"12,7874"
08.12.93,08.12.93,"12,6136"
07.12.93,07.12.93,"12,45"
06.12.93,06.12.93,"12,5267"
03.12.93,03.12.93,"12,3733"
02.12.93,02.12.93,"12,2863"
01.12.93,01.12.93,"12,1278"
30.11.93,30.11.93,"12,1432"
29.11.93,29.11.93,"11,9233"
26.11.93,26.11.93,"11,9182"
25.11.93,25.11.93,"12,0665"
24.11.93,24.11.93,"12,0102"
23.11.93,23.11.93,"11,9642"
22.11.93,22.11.93,"11,9387"
19.11.93,19.11.93,"12,1023"
18.11.93,18.11.93,"12,3221"
17.11.93,17.11.93,"12,2199"
16.11.93,16.11.93,"12,2199"
15.11.93,15.11.93,"12,2199"
12.11.93,12.11.93,"11,8364"
11.11.93,11.11.93,"11,9796"
10.11.93,10.11.93,"11,9898"
09.11.93,09.11.93,"11,9898"
08.11.93,08.11.93,"11,8364"
05.11.93,05.11.93,"11,7086"
04.11.93,04.11.93,"12,0154"
03.11.93,03.11.93,"12,2199"
02.11.93,02.11.93,"12,3221"
01.11.93,01.11.93,"12,0409"
29.10.93,29.10.93,"12,1176"
28.10.93,28.10.93,"11,9642"
27.10.93,27.10.93,"11,7086"
26.10.93,26.10.93,"11,6575"
25.10.93,25.10.93,"11,5092"
22.10.93,22.10.93,"11,5296"
21.10.93,21.10.93,"11,1053"
20.10.93,20.10.93,"11,1104"
19.10.93,19.10.93,"10,9007"
18.10.93,18.10.93,"11,1104"
15.10.93,15.10.93,"11,0183"
14.10.93,14.10.93,"10,865"
13.10.93,13.10.93,"11,1717"
12.10.93,12.10.93,"11,1717"
11.10.93,11.10.93,"11,1717"
08.10.93,08.10.93,"10,9212"
07.10.93,07.10.93,"11,0439"
06.10.93,06.10.93,"11,0388"
05.10.93,05.10.93,"10,7371"
04.10.93,04.10.93,"10,4815"
01.10.93,01.10.93,"10,4304"
30.09.93,30.09.93,"10,3792"
29.09.93,29.09.93,"10,4559"
28.09.93,28.09.93,"10,5326"
27.09.93,27.09.93,"10,6502"
24.09.93,24.09.93,"10,5326"
23.09.93,23.09.93,"10,6349"
22.09.93,22.09.93,"10,4304"
21.09.93,21.09.93,"10,7116"
20.09.93,20.09.93,"10,4559"
17.09.93,17.09.93,"10,3946"
16.09.93,16.09.93,"10,2003"
15.09.93,15.09.93,"10,3639"
14.09.93,14.09.93,"10,4304"
13.09.93,13.09.93,"10,3792"
10.09.93,10.09.93,"10,4304"
09.09.93,09.09.93,"10,4559"
08.09.93,08.09.93,"10,4304"
07.09.93,07.09.93,"10,6195"
06.09.93,06.09.93,"10,6604"
03.09.93,03.09.93,"10,865"
02.09.93,02.09.93,"10,686"
01.09.93,01.09.93,"10,9059"
31.08.93,31.08.93,"11,003"
30.08.93,30.08.93,"10,7422"
27.08.93,27.08.93,"10,686"
26.08.93,26.08.93,"10,6604"
25.08.93,25.08.93,"10,8803"
24.08.93,24.08.93,"10,8036"
23.08.93,23.08.93,"10,8394"
20.08.93,20.08.93,"10,8956"
19.08.93,19.08.93,"11,095"
18.08.93,18.08.93,"11,3251"
